Bin,Lower limit,Upper limit
1,58.77,60.53
2,60.53,62.34
3,62.34,64.2
4,64.2,66.13
5,66.13,68.11
6,68.11,70.15
7,70.15,72.25
8,72.25,74.41
9,74.41,76.63
10,76.63,78.93
11,78.93,81.29
12,81.29,83.73
13,83.73,86.24
14,86.24,88.82
15,88.82,91.47
16,91.47,94.21
17,94.21,97.03
18,97.03,99.93
19,99.93,102.92
20,102.92,106.01
21,106.01,109.19
22,109.19,112.45
23,112.45,115.82
24,115.82,119.28
25,119.28,122.86
26,122.86,126.83
27,126.83,130.92
28,130.92,135.15
29,135.15,139.52
30,139.52,144.03
31,144.03,148.67
32,148.67,153.48
33,153.48,158.43
34,158.43,163.55
35,163.55,168.84
36,168.84,174.29
37,174.29,180
38,180,185
39,185,191
40,191,198
41,198,204
42,204,210.7
43,210.7,217
44,217,224
45,224,232
46,232,238.53
47,238.53,245.21
48,245.21,252.07
49,252.07,259.12
50,259.12,266.37
51,266.37,273.83
52,273.83,281.49
53,281.49,289.36
54,289.36,297.46
55,297.46,305.79
56,305.79,314.35
57,314.35,323.14
58,323.14,332.18
59,332.18,341.48
60,341.48,351.03
61,351.03,360.86
62,360.86,370.95
63,370.95,381.34
64,381.34,392
65,392,402.98
66,402.98,414.26
67,414.26,425.84
68,425.84,437.75
69,437.75,450.01
70,450.01,462.6
71,462.6,475.55
72,475.55,488.85
73,488.85,502.53
74,502.53,516.6
75,516.6,531.05
76,531.05,545.92
77,545.92,561.19
78,561.19,576.9
79,576.9,593.04
80,593.04,609.64
81,609.64,626.7
82,626.7,644.24
83,644.24,662.27
84,662.27,680.8
85,680.8,699.86
86,699.86,719.44
87,719.44,739.57
88,739.57,761.17
89,761.17,785.2
90,785.2,812.8
91,812.8,843.3
92,843.3,874.95
93,874.95,905.7
94,905.7,935.37
95,935.37,963.79
96,963.79,990.79
97,990.79,1009.21
98,1009.21,1022.07
99,1022.07,1029.16